file,text_cleaned,text_lemm,text_stem,field
2011-21163-11, Меры длины концевые плоскопараллельные (далее –  концевые меры) предназначены для использования в качестве рабочих мер для регулировки и настройки показывающих изме-рительных  приборов  и  для  непосредственного  измерения  размеров  промышленных  изделий. Физическая величина - длина (мм). ,мера длина концевой [UNK] далее концевой мера предназначить для использование в качество рабочий мера для [UNK] и настройка показывать изме [UNK] прибор и для непосредственный измерение размер промышленный изделие физический величина длина мм,мер длин концев [UNK] дал концев мер предназнач для использован в качеств рабоч мер для [UNK] и настройк показыва изм рительн прибор и для непосредствен измерен размер промышлен издел физическ величин длин мм,
2011-21720-11," Омметры  ЭС0212  предназначены  для  измерения  электрического  сопротивления  за-земляющей проводки, установления факта её обрыва и обнаружения напряжения переменного тока на оборудовании при нарушении изоляции. ",[UNK] [UNK] предназначить для измерение электрический сопротивление за [UNK] [UNK] [UNK] [UNK] е [UNK] и обнаружение напряжение переменный ток на оборудование при нарушение изоляция,[UNK] [UNK] предназнач для измерен электрическ сопротивлен за [UNK] [UNK] установлен [UNK] е [UNK] и обнаружен напряжен перемен ток на оборудован при нарушен изоляц,напряжение тока
2011-22850-11," Дозиметры  индивидуальные  рентгеновского  и  гамма-излучений  ДКГ-РМ1621  (далее  - приборы)  предназначены  для  измерения  мощности  индивидуальной  эквивалентной  дозы рентгеновского  и  гамма  излучений  Н&р(10)  (далее  -  МЭД),  измерения  индивидуальной эквивалентной дозы рентгеновского и гамма излучений  Н&р(10) (далее ЭД), регистрации времени набора ЭД. ",дозиметр индивидуальный рентгеновский и гамма излучение [UNK] [UNK] далее прибор предназначить для измерение мощность индивидуальный эквивалентный доза рентгеновский и гамма излучение н р далее [UNK] измерение индивидуальный эквивалентный доза рентгеновский и гамма излучение н р далее [UNK] регистрация время набор [UNK],дозиметр индивидуальн рентгеновск и гамм излучен [UNK] [UNK] дал прибор предназнач для измерен мощност индивидуальн эквивалентн доз рентгеновск и гамм излучен н р дал [UNK] измерен индивидуальн эквивалентн доз рентгеновск и гамм излучен н р дал [UNK] регистрац времен набор [UNK],
2011-46579-11," Модули для измерения вакуума серии 275, модули для измерения вакуума и контролле-ры  серии  3хх  производства  Brooks Automation, Inc. (США),  предназначены  для  измерения  абсо-лютного давления в диапазоне от 3×10-9 до  1,3×105 Па. ",модуль для измерение вакуум серия [UNK] для измерение вакуум и [UNK] [UNK] серия [UNK] производство [UNK] предназначить для измерение [UNK] [UNK] давление в диапазон от до [UNK],модул для измерен вакуум сер модул для измерен вакуум и [UNK] [UNK] сер [UNK] производств [UNK] предназнач для измерен [UNK] [UNK] давлен в диапазон от до па,
2011-46648-11," Система  измерительная  на  базе  счетчиков-расходомеров  массовых  Micro  Motion модели CMF 200 и комплекса измерительно-вычислительного CENTUM модели CS3000R3 (далее - ИС) предназначена для измерения, хранения и индикации массового расхода (мас-сы) керосиногазойлевой фракции, при учетных операциях НПЗ ОАО «ТАИФ-НК». ",система измерительный на база счётчик расходомер массовый модель и комплекс измерительно [UNK] модель далее ис предназначить для измерение хранение и индикация массовый расход [UNK] [UNK] [UNK] фракция при учётный операция нпз оао таиф нк,систем измерительн на баз счетчик расходомер массов модел и комплекс измерительн вычислительн модел дал ис предназнач для измерен хранен и индикац массов расход [UNK] [UNK] [UNK] фракц при учетн операц нпз оа таиф нк,
2011-46695-11," Системы подкладные  МПВС-3/10+13/20  (далее  –  системы)  предназначены  для  измерений  нагрузки,  воздействующей  на каждую платформу, в единицах массы. весоизмерительные  многоплатформенные ",система [UNK] [UNK] далее система предназначить для измерение нагрузка воздействовать на [UNK] платформа в единица масса весоизмерительные [UNK],систем [UNK] [UNK] дал систем предназнач для измерен нагрузк воздейств на [UNK] платформ в единиц масс весоизмерительн [UNK],
2011-46750-11," Система  автоматизированная  информационно-измерительная  коммерческого  учета электроэнергии (АИИС КУЭ) ООО  «КурскОбувь» (далее – АИИС КУЭ) предназначена для измерения активной и реактивной электроэнергии и мощности, потребленной за установлен-ные интервалы времени отдельными технологическими объектами, сбора, хранения и обра-ботки  полученной  информации.  Результаты  измерений  системы  могут  быть  использованы для коммерческих расчетов. АИИС КУЭ решает следующие задачи: - автоматическое  выполнение  измерений  30-минутных  приращений  активной  и реактивной электроэнергии, мощности на 30-минутных интервалах; -  периодический (1 раз в 30 минут, час, сутки) и /или  по запросу автоматический сбор привязанных к единому календарному времени измеренных данных о при-ращениях электроэнергии с дискретностью учета (30 мин) и данных о состоянии средств измерений; автоматическое  сохранение  результатов  измерений  в  специализированной  базе данных, отвечающей требованию повышенной защищенности от потери инфор-мации (резервирование баз данных) и от несанкционированного доступа; -  передача  результатов  измерений  на  сервер  АИИС  КУЭ  и  автоматизированные - рабочие места (АРМы);  обеспечение защиты оборудования, программного обеспечения и данных от не-санкционированного  доступа  на  физическом  и  программном  уровне  (установка пломб, паролей и т.п.); диагностику  и  мониторинг  функционирования  технических  и  программных средств АИИС КУЭ; конфигурирование и настройку параметров АИИС КУЭ; ведение системы единого времени в АИИС КУЭ (коррекция времени). - - - - ",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ ооо [UNK] далее аиис куэ предназначить для измерение активный и реактивный электроэнергия и мощность потребить за установить ные интервал время отдельный технологический объект сбор хранение и обра ботки получить информация результат измерение система мочь быть использовать для коммерческий расчёт аиис куэ [UNK] следующий [UNK] автоматический выполнение измерение минутный приращение активный и реактивный электроэнергия мощность на минутный интервал периодический раз в [UNK] час [UNK] и или по запрос автоматический сбор [UNK] к единый [UNK] время измеренных данных о при [UNK] электроэнергия с [UNK] учёт [UNK] и данных о состояние средство измерение автоматический [UNK] результат измерение в специализированный база данных [UNK] требование повышенный [UNK] от потеря [UNK] [UNK] [UNK] база данных и от несанкционированный доступ передача результат измерение на [UNK] аиис куэ и автоматизированный рабочий место [UNK] обеспечение защита оборудование программный обеспечение и данных от не [UNK] доступ на физический и программный уровень установка [UNK] [UNK] и т п диагностика и мониторинг функционирование технический и программный средство аиис куэ [UNK] и настройка параметр аиис куэ ведение система единый время в аиис куэ коррекция время,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ оо [UNK] дал аиис куэ предназнач для измерен активн и реактивн электроэнерг и мощност потреблен за установл ны интервал времен отдельн технологическ объект сбор хранен и обр ботк получен информац результат измерен систем могут быт использова для коммерческ расчет аиис куэ [UNK] след [UNK] автоматическ выполнен измерен минутн приращен активн и реактивн электроэнерг мощност на минутн интервал периодическ раз в [UNK] час [UNK] и ил по запрос автоматическ сбор [UNK] к един [UNK] времен измерен дан о при [UNK] электроэнерг с дискретн учет [UNK] и дан о состоян средств измерен автоматическ [UNK] результат измерен в специализирова баз дан [UNK] требован повышен защищен от потер [UNK] [UNK] [UNK] баз дан и от несанкционирова доступ передач результат измерен на [UNK] аиис куэ и автоматизирова рабоч мест [UNK] обеспечен защит оборудован программн обеспечен и дан от не [UNK] доступ на физическ и программн уровн установк [UNK] [UNK] и т п диагностик и мониторинг функционирован техническ и программн средств аиис куэ [UNK] и настройк параметр аиис куэ веден систем един времен в аиис куэ коррекц времен,коммерческий учет электроэнергии 2
2011-46756-11," Счетчики  импульсов  –  адаптеры  периферии  с  функциями  сбора    и  передачи  данных АП-9,  предназначены  для  подсчета  количества  электрических  импульсов,  поступающих  от приборов учета с импульсным выходом  и сбора данных с приборов  учета, имеющих цифровой интерфейс RS-485 или CAN. ",счётчик импульс [UNK] [UNK] с функция сбор и передача данных [UNK] предназначить для [UNK] количество электрический импульс поступать от прибор учёт с импульсный выход и сбор данных с прибор учёт иметь цифровой интерфейс или,счетчик импульс [UNK] [UNK] с функц сбор и передач дан [UNK] предназнач для [UNK] количеств электрическ импульс поступа от прибор учет с импульсн выход и сбор дан с прибор учет [UNK] цифров интерфейс ил,
2011-46824-11," Система  автоматизированная  аэрогазового  контроля  УК  ОАО  «Южный  Кузбасс»  - «Шахта  «Ерунаковская-1»  (далее  АС  АГК)  предназначена  для  измерения  объемных  долей метана  и  оксида  углерода  в  воздухе,  скорости  воздушного  потока  (параметров  рудничной атмосферы),  управления  установками  и  оборудованием  для  поддержания  безопасного аэрогазового  режима  в  горных  выработках,  а  также  передачи  информации  на  диспетчерский пункт для ее отображения, хранения и анализа в целях обеспечения безопасности горных работ. ",система автоматизировать аэрогазового контроль ук оао южный [UNK] шахта [UNK] далее [UNK] [UNK] предназначить для измерение объёмный доля метан и оксид углерод в воздух скорость воздушный поток параметр рудничный атмосфера управление установка и оборудование для поддержание [UNK] аэрогазового режим в горный выработка а также передача информация на диспетчерский пункт для её отображение хранение и анализ в цель обеспечение безопасность горный работа,систем автоматизирова аэрогазов контрол ук оа южн [UNK] шахт [UNK] дал ас [UNK] предназнач для измерен объемн дол мета и оксид углерод в воздух скорост воздушн поток параметр рудничн атмосфер управлен установк и оборудован для поддержан безопасн аэрогазов режим в горн выработк а такж передач информац на диспетчерск пункт для е отображен хранен и анализ в цел обеспечен безопасн горн работ,
2011-46907-11-1," Расходомеры-счётчики  электромагнитные  ЭСКО-Р  (далее  расходомеры)  предна-значены  для  непрерывных  измерений  объемных  расходов  и  объемов  питьевой,  техниче-ской, теплофикационной воды и конденсата водяного пара в системах водо- и теплоснаб-жения, а также других электропроводящих жидкостей в трубопроводах с Ду от 15 до 300 мм  для  учета  воды  в  системах  сбора  данных,  контроля  и  управления  технологическими процессами, а также в составе теплосчетчиков. ",расходомер сч тчики электромагнитный [UNK] р далее расходомер предна значены для непрерывный измерение объёмный расход и объём питьевой [UNK] ской [UNK] вода и конденсат водяной пар в система [UNK] и [UNK] [UNK] а также других электропроводящий жидкость в трубопровод с [UNK] от до мм для учёт вода в система сбор данных контроль и управление технологический процесс а также в состав [UNK],расходомер сч тчик электромагнитн [UNK] р дал расходомер предн знач для непрерывн измерен объемн расход и объем питьев [UNK] ско [UNK] вод и конденсат водян пар в систем вод и [UNK] [UNK] а такж друг электропроводя жидкост в трубопровод с [UNK] от до мм для учет вод в систем сбор дан контрол и управлен технологическ процесс а такж в состав теплосчетчик,расходометры
